beta,overrelaxation_sweeps,schedule_label,chain_count,mean_runtime_seconds,mean_acceptance_rate,mean_plaquette,mean_plaquette_tau_int,mean_plaquette_ess_per_second,std_plaquette_ess_per_second,mean_scalar_tau_int,mean_scalar_ess_per_second,std_scalar_ess_per_second,mean_plaquette_efficiency_ratio_vs_metropolis,mean_scalar_efficiency_ratio_vs_metropolis
1.5,0,M,3,2.3546029029999977,0.8337808641975308,0.3561893766813509,4.771099045752706,8.664576635554225,3.160385587340431,4.106735399798132,9.574361864619961,1.9214769465113188,1.0,1.0
1.5,1,M+1OR,3,6.636466569333333,0.8338425925925925,0.3545669813414099,7.67021475149231,2.3862972134194016,1.230544801102625,3.0873397985099245,6.0325233965675915,3.216192909107717,0.3301191864050408,0.6764041397002406
1.5,2,M+2OR,3,10.794150499999995,0.8351234567901235,0.3507108572532633,5.19925262927103,1.7863995780788702,0.732704138649384,2.3731228951417767,3.6196359943013623,0.7821064081395376,0.2352310968789906,0.3881299794657651
1.5,4,M+4OR,3,19.325851875,0.835192901234568,0.3484229016140567,4.900811425851404,0.9837994212181617,0.21409924385261936,2.2204094633226803,2.240914276282043,0.7017992599014237,0.12451478991977445,0.23402031714185914
2.0,0,M,3,2.295383153000008,0.7837191358024692,0.45318449859424326,7.667430216607605,7.918051361735429,5.2763409744104095,4.482487863821124,9.165032245722662,2.2013789069692162,1.0,1.0
2.0,1,M+1OR,3,6.5289468473333345,0.7842206790123457,0.46216054402202955,6.867031663693031,2.0769747847619757,0.4903976491163028,2.0451668917007275,8.522662490228049,5.549675793438298,0.38616041251577443,0.9089629888812077
2.0,2,M+2OR,3,10.648076305333328,0.7855787037037038,0.4525480471337742,7.62995467660231,1.201095170619826,0.434323620094307,2.7977106001914005,3.373144687894117,1.2933233851296937,0.2795379644119048,0.38650294431414256
2.0,4,M+4OR,3,19.03972476400001,0.7845756172839508,0.45366738579406857,5.926702207496784,0.8125573981165933,0.14510853110285313,2.416102804212225,1.9594093367294578,0.08419816926445568,0.174582835395917,0.22268889526018032
2.5,0,M,3,2.272431472333333,0.7392052469135804,0.545569812876194,8.024171364225733,5.048134278655426,0.8617422810458093,6.903736780681214,6.072631984386489,1.8331315343973962,1.0,1.0
2.5,1,M+1OR,3,6.46665790266664,0.7354475308641976,0.5484831255126427,9.012770205832265,2.052725630139745,1.481614859875109,2.2294991330926606,6.944008131251099,2.45998595599652,0.45343305172886555,1.2681972728087425
2.5,2,M+2OR,3,10.70400436099998,0.7372762345679013,0.5560928537930816,8.212712687680828,1.1475207979299014,0.4279908944395354,4.490669143211703,2.098120674738481,0.7805688028872201,0.22190012291578762,0.35708782188306726
2.5,4,M+4OR,3,19.05284484733333,0.7353317901234567,0.5521624518628035,7.621565276790246,0.6787784358257768,0.27174325802363763,4.277132823196188,1.3547741562412734,0.7898618069273885,0.13468126727958377,0.21132690870526083
